instrumentid,fromdate,open,high,low,close,ema_10,ema_20,trend,dl_trend,angle,opt_dl_trend,|,ent_sig,ext_sig,set_tp,set_sl,upd_tp,upd_sl
18 - gold,2024-03-22 20:00:00,2163.86,2167.03,2163.37,2165.86,2171.401646669308,2172.001603926482,-1,-1,-29.773876719277073,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-24 20:00:00,2165.53,2168.79,2164.94,2168.19,2170.817710911252,2171.6385940287214,-1,-1,-36.15302693485123,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-25 00:00:00,2168.2,2178.06,2163.76,2170.41,2170.743581654661,2171.5215850736054,-1,0,-4.783717399709305,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-25 04:00:00,2170.4,2171.5,2163.44,2165.77,2169.8392940810863,2170.9738150665953,-1,0,-46.88392809337859,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-25 08:00:00,2165.59,2171.71,2163.61,2170.32,2169.926695157252,2170.9115469650146,-1,0,5.516757378159602,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-25 12:00:00,2170.28,2181.12,2170.16,2175.26,2170.8963869468425,2171.3256853492985,-1,0,40.44844439006344,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-25 16:00:00,2175.17,2177.68,2170.51,2170.76,2170.871589320144,2171.2718105541276,-1,0,-1.325136769077657,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-25 20:00:00,2170.83,2173.37,2170.51,2172.75,2171.2131185346634,2171.412590501354,-1,0,19.38397845836947,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-26 00:00:00,2172.77,2174.23,2167.44,2170.18,2171.0252788010885,2171.295200929796,-1,0,-12.58287145673203,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-26 04:00:00,2170.17,2173.99,2169.44,2172.79,2171.3461372008906,2171.437562746006,-1,0,26.526972115884373,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-26 08:00:00,2172.77,2199.91,2171.36,2196.29,2175.881384982547,2173.8044615321005,1,0,71.41506455139188,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-26 12:00:00,2196.3,2197.13,2171.52,2174.13,2175.5629513493564,2173.83546519571,1,0,-11.929743477243933,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-26 16:00:00,2174.17,2179.05,2174.12,2177.73,2175.956960194928,2174.206373272309,1,0,14.760023923148445,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-26 20:00:00,2177.71,2179.77,2174.48,2179.29,2176.562967432214,2174.690528198756,1,0,23.268059830501173,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-27 00:00:00,2179.3,2181.58,2173.2,2177.54,2176.7406097172657,2174.9619064655412,1,0,7.20388657505009,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-27 04:00:00,2177.53,2180.63,2175.56,2180.35,2177.396862495945,2175.475058230728,1,0,25.08722703790571,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-27 08:00:00,2180.36,2197.4,2176.39,2188.29,2179.3774329512275,2176.6955288754207,1,0,54.02816479137719,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-27 12:00:00,2188.27,2195.06,2183.37,2190.27,2181.357899687368,2177.98833564919,1,1,53.48746656287722,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-27 16:00:00,2190.26,2194.11,2188.86,2193.14,2183.50009974421,2179.431351301648,1,1,56.114271893407974,1,|,1.0,0.0,0.0,2177.98833564919,0.0,0.0
18 - gold,2024-03-27 20:00:00,2193.22,2195.03,2189.95,2190.55,2184.781899790717,2180.4902702253007,1,1,42.4443741020615,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-28 00:00:00,2190.58,2196.26,2187.16,2194.65,2186.5760998287683,2181.8388159181295,1,1,63.9142867457416,1,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-28 04:00:00,2194.62,2200.44,2192.49,2193.55,2187.844081678083,2182.9541667830695,1,1,60.04472288482748,1,|,1.0,0.0,0.0,2181.8388159181295,0.0,0.0
18 - gold,2024-03-28 08:00:00,2193.58,2213.53,2190.67,2210.25,2191.917885009341,2185.5537699465867,1,0,74.91325485707851,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-28 12:00:00,2210.22,2216.92,2202.07,2215.72,2196.2455422803696,2188.426744237388,1,1,72.90125772728561,1,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-28 16:00:00,2215.72,2225.14,2213.25,2221.58,2200.851807320302,2191.5841971671603,1,1,73.04830904931148,1,|,1.0,0.0,0.0,2188.426744237388,0.0,0.0
18 - gold,2024-03-28 20:00:00,2221.22,2235.98,2219.42,2232.34,2206.5769332620653,2195.465702198859,1,1,74.37450262732897,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-31 20:00:00,2237.94,2247.21,2234.87,2245.83,2213.7138544871445,2200.2623019894436,1,1,74.07180327046935,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-01 00:00:00,2246.07,2265.01,2243.7,2264.33,2222.9167900349366,2206.3639875142585,1,1,73.92516917746133,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-01 04:00:00,2264.3,2265.49,2256.7,2257.35,2229.1773736649484,2211.219798227186,1,1,67.25930301095948,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-01 08:00:00,2257.34,2260.03,2245.43,2246.61,2232.3469420895035,2214.590293634121,1,1,52.62058371125477,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-01 12:00:00,2246.62,2257.73,2228.3,2239.54,2233.654770800503,2216.966456145157,1,0,27.695731502948036,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-01 16:00:00,2239.56,2244.56,2234.56,2244.52,2235.6302670185933,2219.5906031789514,1,0,39.564505578350996,0,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-01 20:00:00,2244.5,2255.92,2242.88,2248.86,2238.0356730152125,2222.378164780956,1,1,43.880504896899986,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-02 00:00:00,2248.85,2255.1,2246.46,2251.37,2240.4600961033557,2225.1392919446744,1,1,43.04341830896577,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-02 04:00:00,2251.49,2259.64,2250.26,2256.22,2243.3255331754726,2228.099359378515,1,1,47.34320285416092,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-02 08:00:00,2256.2,2266.61,2255.04,2260.46,2246.440890779932,2231.1813251519898,1,1,50.08077242979077,1,|,1.0,0.0,0.0,2228.099359378515,0.0,0.0
18 - gold,2024-04-02 12:00:00,2260.45,2276.81,2250.67,2258.51,2248.63527427449,2233.7840560898953,1,1,42.39550171573518,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-02 16:00:00,2258.5,2279.16,2254.07,2277.33,2253.8524971336738,2237.9312888432387,1,1,73.76674793730453,1,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-02 20:00:00,2277.35,2288.18,2275.6,2279.8,2258.5702249275514,2241.9187851438824,1,1,75.63584878585682,1,|,1.0,0.0,0.0,2237.9312888432387,0.0,0.0
18 - gold,2024-04-03 00:00:00,2279.75,2287.8,2276.59,2284.93,2263.3629113043603,2246.0150913206553,1,1,74.33575917221648,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-03 04:00:00,2284.9,2286.89,2270.29,2270.99,2264.749654703567,2248.3936540520212,1,1,46.144596769226354,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-03 08:00:00,2270.86,2275.88,2267.49,2273.57,2266.353353848373,2250.791401285162,1,1,49.448803161106085,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-03 12:00:00,2273.55,2288.17,2265.37,2286.11,2269.945471330487,2254.1550773532417,1,0,69.27220998862853,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-03 16:00:00,2286.37,2298.7,2280.79,2297.31,2274.9208401794895,2258.2650699862666,1,1,73.89368637014006,1,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-03 20:00:00,2297.38,2302.46,2296.11,2297.33,2278.995232874128,2261.985539511384,1,1,70.61985314939471,1,|,1.0,0.0,0.0,2258.2650699862666,0.0,0.0
18 - gold,2024-04-04 00:00:00,2297.34,2304.49,2297.13,2298.99,2282.630645078832,2265.509773843633,1,1,68.60366840963478,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-04 04:00:00,2298.95,2300.54,2291.7,2292.79,2284.477800519044,2268.10789062043,1,1,51.55071113652135,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-04 08:00:00,2292.82,2294.98,2288.66,2289.1,2285.3182004246723,2270.10713913277,1,1,28.094589538626682,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-04 12:00:00,2289.12,2299.21,2282.59,2291.9,2286.51489125655,2272.182649691554,1,0,37.18234839631795,0,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-04 16:00:00,2291.91,2305.39,2279.85,2284.83,2286.2085473917227,2273.3871592447395,1,0,-10.330290116475114,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-04 20:00:00,2284.7,2293.22,2284.62,2288.55,2286.634266047773,2274.8312393166693,1,0,13.574482078942959,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-05 00:00:00,2288.69,2290.12,2267.61,2276.56,2284.8025813118143,2274.9958831912722,1,0,-40.08863686012963,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-05 04:00:00,2276.6,2290.46,2276.4,2288.99,2285.5639301642113,2276.328656220675,1,0,19.87092280858044,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-05 08:00:00,2288.97,2295.92,2284.68,2291.02,2286.5559428616275,2277.727831818706,1,0,29.790668875629876,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-05 12:00:00,2291.0,2328.24,2280.13,2326.03,2293.7330441595136,2282.3280383121623,1,0,71.19607072260155,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-05 16:00:00,2326.05,2330.23,2320.55,2323.0,2299.054308857784,2286.201558472909,1,1,63.4553750976782,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-05 20:00:00,2323.12,2325.19,2322.68,2324.48,2303.677161792732,2289.847124332632,1,1,58.59910677462676,1,|,1.0,0.0,0.0,2286.201558472909,0.0,0.0
18 - gold,2024-04-07 20:00:00,2320.75,2328.26,2302.63,2311.07,2305.0213141940535,2291.868350586667,1,0,25.604213288439833,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-08 00:00:00,2311.18,2353.86,2302.74,2345.34,2312.3519843405893,2296.960888626032,1,0,66.07698717767417,0,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-08 04:00:00,2345.38,2345.38,2331.67,2337.6,2316.9425326423006,2300.8312801854577,1,1,55.669214766884274,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-08 08:00:00,2337.58,2343.38,2333.12,2337.15,2320.6166176164274,2304.290205882081,1,1,50.81006999545712,1,|,1.0,0.0,0.0,2300.8312801854577,0.0,0.0
18 - gold,2024-04-08 12:00:00,2337.2,2337.86,2318.57,2327.68,2321.9008689588954,2306.517805321883,1,0,27.05610393731181,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-08 16:00:00,2327.7,2341.85,2325.88,2338.24,2324.871620057278,2309.5389667197987,1,1,52.063009032251585,1,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-08 20:00:00,2338.21,2340.25,2336.7,2338.63,2327.3731436832277,2312.3095413179135,1,1,49.376179745359515,1,|,1.0,0.0,0.0,2309.5389667197987,0.0,0.0
18 - gold,2024-04-09 00:00:00,2338.68,2348.26,2337.59,2343.86,2330.3707539226407,2315.314346906684,1,1,58.11748128986327,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-09 04:00:00,2343.8,2356.73,2342.91,2353.77,2334.6251623003423,2318.9767900584284,1,1,67.20261342041286,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-09 08:00:00,2353.79,2365.17,2349.52,2354.29,2338.2005873366434,2322.3399529100066,1,1,63.93280664915949,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-09 12:00:00,2354.3,2364.1,2338.09,2340.17,2338.5586623663444,2324.038052632863,1,0,10.660762982557097,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-09 16:00:00,2340.18,2351.4,2339.86,2351.02,2340.8243601179183,2326.607761905924,1,0,60.02622624701071,0,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-09 20:00:00,2351.0,2354.85,2350.32,2354.75,2343.3562946419333,2329.2879750577404,1,1,65.48070813435528,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-10 00:00:00,2354.66,2355.41,2344.54,2351.1,2344.7642410706726,2331.365310766527,1,0,50.707752360804605,0,|,1.0,0.0,0.0,2329.2879750577404,0.0,0.0
18 - gold,2024-04-10 04:00:00,2351.11,2359.88,2350.7,2352.89,2346.2416517850957,2333.4152811697145,1,1,52.52911845957739,1,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-10 08:00:00,2353.2,2355.72,2344.62,2346.87,2346.3558969150786,2334.696682963075,1,0,4.925017868520253,0,|,1.0,0.0,0.0,2333.4152811697145,0.0,0.0
18 - gold,2024-04-10 12:00:00,2346.88,2352.17,2319.04,2336.84,2344.62573383961,2334.900808395163,1,0,-43.97111276610453,0,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-10 16:00:00,2336.78,2345.05,2325.68,2329.46,2341.8683276869538,2334.382636167052,1,0,-51.23953927171424,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-10 20:00:00,2329.35,2337.11,2329.32,2335.39,2340.6904499256893,2334.478575579714,1,0,-30.17379154808908,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-11 00:00:00,2335.43,2346.7,2333.17,2343.77,2341.2503681210187,2335.363473143551,1,0,17.847107415683134,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-11 04:00:00,2343.76,2345.94,2333.73,2336.27,2340.34484664447,2335.4498090346415,1,0,-26.961249943638176,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-11 08:00:00,2336.37,2339.47,2325.48,2337.11,2339.756692709112,2335.607922459914,1,0,-19.83096013928461,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-11 12:00:00,2336.98,2347.25,2330.87,2344.53,2340.624566762001,2336.4576441303984,1,0,31.788914434281512,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-11 16:00:00,2344.54,2374.49,2342.52,2372.62,2346.441918259819,2339.901678022741,1,0,67.94908288831017,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-11 20:00:00,2372.7,2379.39,2371.28,2376.68,2351.9397513034883,2343.4043753539086,1,1,62.28937686530269,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-12 00:00:00,2376.96,2395.22,2374.38,2384.1,2357.7870692483084,2347.280149129727,1,1,60.387253882682856,1,|,1.0,0.0,0.0,2343.4043753539086,0.0,0.0
18 - gold,2024-04-12 04:00:00,2384.11,2399.99,2382.6,2399.75,2365.4166930213432,2352.2772777840387,1,1,64.01450844900754,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-12 08:00:00,2399.76,2400.47,2390.23,2395.21,2370.8336579265533,2356.366108471273,1,1,57.700982698900326,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-12 12:00:00,2395.23,2431.31,2382.3,2395.4,2375.300265576271,2360.0836219501994,1,1,54.97272387442127,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-12 16:00:00,2395.18,2395.18,2333.65,2343.15,2369.4547627442216,2358.4708960501803,1,0,-54.002453136618094,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-12 20:00:00,2343.43,2344.69,2341.6,2342.06,2364.4738967907265,2356.907953569211,1,-1,-46.041370904819,-1,|,0.0,1.0,0.0,0.0,0.0,0.0
